Month,Inflation
2010 JAN,87.8
2010 FEB,88.2
2010 MAR,88.7
2010 APR,89.2
2010 MAY,89.4
2010 JUN,89.5
2010 JUL,89.3
2010 AUG,89.8
2010 SEP,89.8
2010 OCT,90
2010 NOV,90.3
2010 DEC,91.2
2011 JAN,91.3
2011 FEB,92
2011 MAR,92.2
2011 APR,93.2
2011 MAY,93.4
2011 JUN,93.3
2011 JUL,93.3
2011 AUG,93.8
2011 SEP,94.4
2011 OCT,94.5
2011 NOV,94.6
2011 DEC,95.1
2012 JAN,94.6
2012 FEB,95.1
2012 MAR,95.4
2012 APR,96
2012 MAY,95.9
2012 JUN,95.5
2012 JUL,95.6
2012 AUG,96.1
2012 SEP,96.5
2012 OCT,97
2012 NOV,97.2
2012 DEC,97.6
2013 JAN,97.1
2013 FEB,97.8
2013 MAR,98.1
2013 APR,98.3
2013 MAY,98.5
2013 JUN,98.3
2013 JUL,98.3
2013 AUG,98.7
2013 SEP,99.1
2013 OCT,99.1
2013 NOV,99.2
2013 DEC,99.6
2014 JAN,99
2014 FEB,99.5
2014 MAR,99.7
2014 APR,100.1
2014 MAY,100
2014 JUN,100.2
2014 JUL,99.9
2014 AUG,100.2
2014 SEP,100.3
2014 OCT,100.4
2014 NOV,100.1
2014 DEC,100.1
2015 JAN,99.3
2015 FEB,99.5
2015 MAR,99.7
2015 APR,99.9
2015 MAY,100.1
2015 JUN,100.2
2015 JUL,100
2015 AUG,100.3
2015 SEP,100.2
2015 OCT,100.3
2015 NOV,100.3
2015 DEC,100.3
2016 JAN,99.5
2016 FEB,99.8
2016 MAR,100.2
2016 APR,100.2
2016 MAY,100.4
2016 JUN,100.6
2016 JUL,100.6
2016 AUG,100.9
2016 SEP,101.1
2016 OCT,101.2
2016 NOV,101.4
2016 DEC,101.9
2017 JAN,101.4
2017 FEB,102.1
2017 MAR,102.5
2017 APR,102.9
2017 MAY,103.3
2017 JUN,103.3
2017 JUL,103.2
2017 AUG,103.8
2017 SEP,104.1
2017 OCT,104.2
2017 NOV,104.6
2017 DEC,104.9
2018 JAN,104.4
2018 FEB,104.9
2018 MAR,105
2018 APR,105.4
2018 MAY,105.8
2018 JUN,105.8
2018 JUL,105.8
2018 AUG,106.5
2018 SEP,106.6
2018 OCT,106.7
2018 NOV,107
2018 DEC,107.1
2019 JAN,106.3
2019 FEB,106.8
2019 MAR,107
2019 APR,107.6
2019 MAY,107.9
2019 JUN,107.9
2019 JUL,107.9
2019 AUG,108.4
2019 SEP,108.5
2019 OCT,108.3
2019 NOV,108.5
2019 DEC,108.5
2020 JAN,108.2
2020 FEB,108.6
2020 MAR,108.6
2020 APR,108.5
2020 MAY,108.5
2020 JUN,108.6
2020 JUL,109.1
2020 AUG,108.6
2020 SEP,109.1
2020 OCT,109.1
2020 NOV,108.9
2020 DEC,109.2
2021 JAN,109
2021 FEB,109.1
2021 MAR,109.4
2021 APR,110.1
2021 MAY,110.8
2021 JUN,111.3
2021 JUL,111.3
2021 AUG,112.1
2021 SEP,112.4
2021 OCT,113.6
2021 NOV,114.5
2021 DEC,115.1
2022 JAN,114.9
2022 FEB,115.8
2022 MAR,117.1
2022 APR,120
2022 MAY,120.8
2022 JUN,121.8
2022 JUL,122.5
2022 AUG,123.1
2022 SEP,123.8
2022 OCT,126.2
2022 NOV,126.7
2022 DEC,127.2
2023 JAN,126.4
2023 FEB,127.9
2023 MAR,128.9